copy_key,english,spanish,Notes
graph_builder.page_title.location.products.export_value,What products does {{thisLevel}} export?,¿Qué exporta {{thisLevel}}?,
graph_builder.page_title.location.locations.import_subregions_products_locations,What subregions contribute to the imports of {{item}} for {{thisLevel}} from {{place}}?,¿Cómo se descomponen por lugar de origen las importaciones de {{item}} de {{thisLevel}} a {{place}}?,
graph_builder.page_title.location.locations.import_subregions_products,What subregions contribute to the imports of {{item}} for {{thisLevel}}?,¿Cómo se descomponen por lugar de origen las importaciones de {{item}} de {{thisLevel}}?,
graph_builder.page_title.location.locations.import_subregions_locations,What subregions contribute to the imports for {{thisLevel}} from {{place}}?,¿Cómo se descomponen por lugar de origen las importaciones de {{thisLevel}} a {{place}}?,
graph_builder.page_title.location.locations.import_subregions,What subregions contribute to the imports for {{thisLevel}}?,¿Cómo se descomponen por lugar de origen las importaciones de {{thisLevel}}?,
graph_builder.page_title.location.locations.import_product_from,What countries does {{thisLevel}} import {{item}} from?,¿De qué países {{thisLevel}} importa {{item}}?,
graph_builder.page_title.location.locations.import_from,What countries does {{thisLevel}} import from?,¿De qué países importa {{thisLevel}}?,
graph_builder.page_title.location.locations.export_to,What countries does {{thisLevel}} export {{item}} to?,¿A qué países {{thisLevel}} exporta {{item}}?,
graph_builder.page_title.location.locations.export_subregions_products_locations,What subregions contribute to the exports of {{item}} from {{thisLevel}} to {{place}}?,¿Cómo se descomponen por lugar de origen las exportaciones de {{item}} de {{thisLevel}} a {{place}}?,
graph_builder.page_title.location.locations.export_subregions_products,What subregions contribute to the exports of {{item}} from {{thisLevel}}?,¿Cómo se descomponen por lugar de origen las exportaciones de {{item}} de {{thisLevel}}?,
graph_builder.page_title.location.locations.export_subregions_locations,What subregions contribute to the exports from {{thisLevel}} to {{place}}?,¿Cómo se descomponen por lugar de origen las exportaciones de {{thisLevel}} a {{place}}?,
graph_builder.page_title.location.locations.export_subregions,What subregions contribute to the exports from {{thisLevel}}?,¿Cómo se descomponen por lugar de origen las exportaciones de {{thisLevel}}?,
graph_builder.page_title.location.locations.export,What countries does {{thisLevel}} export to?,¿A qué países exporta {{thisLevel}}?,
graph_builder.page_title.location.industries.wages_avg,What industries in {{thisLevel}} have the highest wages per worker?,¿Qué sectores en {{thisLevel}} pagan los salarios más altos por trabajador?,
graph_builder.page_title.location.industries.wages,What industries in {{thisLevel}} are the largest by total wages?,¿Qué sectores en {{thisLevel}} tienen las mayores nóminas salariales?,
graph_builder.page_title.location.industries.similarity,What does the industry space look like for {{thisLevel}}?,¿Cómo es el espacio de los sectores de {{thisLevel}}?,
graph_builder.page_title.location.industries.scatter,What industries have the most potential for {{thisLevel}}?,¿Qué sectores relativamente complejos y que ayuden a elevar la complejidad podrían desarrollarse más en {{thisLevel}}?,
graph_builder.page_title.location.industries.employment,What industries in {{thisLevel}} employ the most people?,¿Qué sectores generan más empleo en {{thisLevel}}?,
graph_builder.page_title.industry.occupations.num_vacancies,What occupations does this industry employ?,¿Qué ocupaciones demanda este sector?,
graph_builder.page_title.industry.departments.wages,Where in Mexico does this industry pay the highest total wages?,¿Qué lugares en México pagan más salarios en total en este sector?,
graph_builder.page_title.industry.departments.employment,Where in Mexico does this industry employ the most people?,¿Qué lugares en México ocupan más gente en este sector?,
graph_builder.multiples.show_all,Show All,Mostrar todo,
graph_builder.change_graph.unavailable,Graph is unavailable for this question,Este gráfico no está disponible para esta pregunta,
graph_builder.change_graph.treemap_description,See composition at different levels,Muestra la descomposición en varios niveles,
graph_builder.change_graph.similarity_description,Analyze revealed comparative advantages,Presenta las ventajas comparativas reveladas existentes,
graph_builder.change_graph.scatter_description,Plot complexity and distance,Muestra la complejidad y la distancia,
graph_builder.change_graph.multiples_description,Compare growth over time,Muestra el crecimiento en varios períodos,
graph_builder.change_graph.label,Graphs,Gráficos,
graph_builder.change_graph.geo_description,Map the data,Mapea los datos,
graph_builder.builder_questions.product,Questions: Products,Preguntas: Productos de exportación,
graph_builder.builder_questions.occupation,Questions: Occupations,Preguntas: Ocupaciones,
graph_builder.builder_questions.location,Questions: Locations,Preguntas: Lugares,
graph_builder.builder_questions.industry,Questions: Industries,Preguntas: Sectores,
graph_builder.builder_nav.intro,"Select a question to see the corresponding graph. If the question has missing parameters ({{icon}}) , you’ll fill those in when you click.","Seleccione una pregunta para ver el gráfico correspondiente. Si en la pregunta faltan parámetros ({{icon}}), los podrá llenar cuando haga click.",
graph_builder.builder_nav.header,More graphs for this {{entity}},Más gráficos para este {{entity}},
graph_builder.builder_mod_header.product.locations.import_value,Total Imports,Importaciones totales,
graph_builder.builder_mod_header.product.locations.export_value,Total Exports,Exportaciones totales,
graph_builder.builder_mod_header.location.products.similarity,Complexity and opportunity,Complejidad y valor estratégico,
graph_builder.builder_mod_header.location.products.scatter,Complexity and opportunity,Complejidad y valor estratégico,
graph_builder.builder_mod_header.location.products.import_value,Total imports,Importaciones totales,
graph_builder.builder_mod_header.location.products.export_value,Total exports,Exportaciones totales,
graph_builder.builder_mod_header.location.industries.wages,Total wages,Salarios totales,
graph_builder.builder_mod_header.location.industries.similarity,Complexity and opportunity,Complejidad y valor estratégico,
graph_builder.builder_mod_header.location.industries.scatter,Complexity and opportunity,Complejidad y valor estratégico,
graph_builder.builder_mod_header.location.industries.employment,Total employment,Empleo total,
graph_builder.builder_mod_header.industry.occupations.num_vacancies,Total vacancies,Total de vacantes,
graph_builder.builder_mod_header.industry.locations.wages,"Total wages, Mex$","Salarios totales, Mex$",
graph_builder.builder_mod_header.industry.locations.wage_avg,"Average wages, Mex$","Salarios promedio, Mex$",
graph_builder.builder_mod_header.industry.locations.employment,Total employment,Empleo total,
graph_builder.builder_mod_header.industry.departments.wages,"Total wages, Mex$","Salarios totales, Mex$",
graph_builder.builder_mod_header.industry.departments.wage_avg,"Average wages, Mex$","Salarios promedio, Mex$",
graph_builder.builder_mod_header.industry.departments.employment,Total employment,Empleo total,
general.treemap,Treemap,Gráfico de composición,
general.total,Total,Totales,
general.similarity,Similarity space,Espacio similitud,
general.scatter,Scatterplot,Gráfico de dispersión,
general.product,product,producto,
general.occupations,Occupations,Ocupaciónes,
general.occupation,occupation,ocupación,
general.multiples,Area charts,Gráficos de áreas,
general.locations,Locations,Lugares,
general.location,location,lugar,
general.industry,industry,sector,
general.industries,Industries,Sectores,
general.glossary,Glossary,Glosario,
general.geo,Geographic map,Mapa geográfico,
general.export_and_import,Products,Productos,
downloads.trade_row_1,"Exports, imports and complexity (2008–2013)","Exportaciones, importaciones y indicadores de complejidad (2008-2013)",
downloads.trade_head,Trade data ,Datos de exportaciones e importaciones,
downloads.trade_copy,"The source of all data on exports and imports by department and municipality is DIAN’s Customs Data (DIAN is the National Tax and Customs Authority). It may not correspond to official export/import data because some transactions were not included due to lack of information on the industry of the exporter and/or the municipality or department of origin (or destination) of the export (or import). Colombian Customs data use a modified version of the Harmonized System (HS) classification, which is compatible with the International Standard Industrial Classification of All Economic Activities (ISIC).","La fuente de todos los datos sobre las exportaciones e importaciones por departamento y municipio es la Dirección de Impuestos y Aduanas Nacionales, DIAN. Puede que no correspondan a los totales oficiales de exportación / importación, porque algunas transacciones no fueron incluidos debido a la falta de información sobre el sector del exportador y/o el departamento o municipio de origen (o destino) de la exportación (o importación). El sistema arancelario colombiano es una versión modificada de la clasificación internacional del Sistema Armonizado (SA), compatible con la Clasificación Sectorial Internacional Uniforme de todas las Actividades Económicas (CIIU).",
downloads.thead_national,National,Nacional,
downloads.thead_muni,Municipalities,Municipios,
downloads.thead_met,Cities,Ciudades,
downloads.thead_departments,States,Entidades,"mxn is state, can someone update"
downloads.other_row_1,GDP and demographic variables,El PIB y variables demográficas,
downloads.other_head,Other data,Otros datos,
downloads.other_copy,DANE (the National Statistical Office) is the source of all data on GDP and population.,"El Departamento Administrativo Nacional de Estadística, DANE,  es la fuente de todos los datos sobre el PIB y la población.",
downloads.occupations_row_1,Job vacancies and entry wages (2014),Vacantes laborales y salarios de entrada (2014),Check year
downloads.occupations_head,Occupations data,Datos de ocupaciones,
downloads.occupations_copy,"All data on occupations (entry wage levels by occupation and location, and occupational structure by industry) come from job vacancy announcements placed by firms in public and private Internet job sites during 2014. Occupations are classified according to the Occupational Information Network Numerical Index (ONET). The data were processed by Jeisson Arley Cárdenas Rubio, researcher of Universidad del Rosario, Bogotá, and Jaime Mauricio Montaña Doncel, Masters student at the Paris School of Economics.","Todos los datos sobre las ocupaciones (niveles salariales de entrada por ocupación y lugar, y estructura ocupacional por sector) provienen de los anuncios de vacantes de empleo colocados por las empresas en los sitios de empleo de Internet públicos y privados durante 2014. Las ocupaciones se clasifican de acuerdo con el Índice Numérico de la Red Ocupacional (ONET). Los datos fueron procesados ​​por Jeisson Arley Rubio Cárdenas, investigador de la Universidad del Rosario, Bogotá, y Jaime Mauricio Montaña Doncel, estudiante de maestría en la Escuela de Economía de París.",
downloads.industry_row_1,"Employment, wages, firms and complexity (2008–2013)","Empleo, salarios, firmas y indicadores de complejidad productiva (2008-2013)",Check year
downloads.industry_head,Industry data (IMSS),Datos de sectores productivos (IMSS),
downloads.industry_copy,"PILA (the Integrated Report of Social Security Contributions), managed by the Ministry of Health) is the main source of industry data. It contains information on formal employment, wages and number of firms by municipality and industry. Colombia’s industry classification is a modified version of the International Standard Industrial Classification of All Economic Activities (ISIC).","La Planilla Integrada de Aportes Laborales, PILA, del Ministerio de Salud, es la fuente principal de los datos por sector. Contiene información de empleo formal, salarios y número de empresas por municipio y sector. La clasificación sectorial de Colombia es una versión modificada de la Clasificación Sectorial Internacional Uniforme de todas las Actividades Económicas (CIIU).",
downloads.head,Download the data,Descargar los datos,
downloads.cta_na,Not available,No disponible,
downloads.cta_download,Download,Descargar,
ctas.twitter,Twitter,Twitter,
ctas.share,Share,Compartir,
ctas.png,PNG,PNG,
ctas.pdf,PDF,PDF,
ctas.facebook,Facebook,Facebook,
ctas.export,Export,Exportar,
ctas.excel,Excel,Excel,
ctas.embed,Embed,Insertar,
ctas.download,Download this data,Descargue estos datos,
ctas.csv,CSV,CSV,
country.show.total,Total,Totales,
country.show.product_space,Product Space,Espacio del producto,
country.show.population,48.1 million,"48,1 millones",
country.show.industry_space,Industry Space,Espacio de los sectores,
country.show.industry_complex.copy.p2,The industry ‘Technological Similarity Space’ shown below is a graphical representation of the similarity between the capabilities and know-how required by pairs of industries. Each dot or node represents an industry; nodes connected by lines require similar capabilities. More connected industries use capabilities that can be deployed in many other industries. Colors represent industry groupings.,El ‘Espacio de Similitud Tecnológica’ que se presenta enseguida es una representación gráfica de la similitud de las capacidades y habilidades entre pares de sectores. Cada punto (o nodo) representa un sector; los nodos conectados por líneas requieren capacidades semejantes. Los sectores con más conexiones usan capacidades que pueden ser utilizadas en muchos otros sectores. Los colores representan grupos de sectores.,
country.show.industry_complex.copy.p1,"Industry complexity is a measure of the range of capabilities, skills or know-how required by an industry. Industries such as chemicals and machinery are said to be highly complex, because they require a sophisticated level of productive knowledge likely to be present only in large organizations where a number of highly specialized individuals interact. Conversely, industries such as retail trade or restaurants require only a basic level of know-how which may be found at a family-run business. More complex industries pay higher salaries and contribute to raising productivity and income per- capita. States and cities with more complex industries have a more diversified industrial base and tend to create more formal employment.","La complejidad productiva es una medida de la amplitud de las capacidades y habilidades –know-how– que se requiere en un sector productivo. Se dice que sectores tales como químicos o maquinaria son altamente complejos porque requieren un nivel sofisticado de conocimientos productivos que solo es factible encontrar en grandes empresas donde interactúa un número de individuos altamente capacitados. En contraste, sectores como el comercio minorista o restaurantes requieren solo niveles básicos de capacitación que pueden encontrarse incluso en una pequeña empresa familiar. Los sectores más complejos son más productivos y contribuyen más a elevar el ingreso per cápita. Las entidades y ciudades con sectores más complejos tienen una base productiva más diversificada y tienden a crear más empleo formal.",
country.show.industry_complex,Industry complexity,Complejidad Productiva,
country.show.gdp_per_capita," Col $756,152",Col $756.152,
country.show.gdp,"Col $15,864,953",Col $15.864.953,
country.show.exports.copy.p1,"Colombia exported US$54.8 billion dollars in 2014, down from $58.8 billion in 2013 and $60.1 billion in 2012. Its main export partners are the United States, Venezuela, Ecuador and Peru. In 2014, mining products (of which oil, coal and nickel are the largest items) comprised 59.3% of total merchandise exports, manufactured goods contributed 35.6%, and agricultural products totaled 4.6% of exports. The following graphs provide further details.","Colombia exportó US$54,8 miles de millones en 2014, comparado con $58,8 miles de millones en 2013 y $60,1 miles de millones en 2012. Sus principales destinos de exportación son los Estados Unidos, Venezuela, Ecuador y Perú. En 2014, los productos mineros (entre los cuales, petróleo, carbón y ferroníquel son los más importantes) representaron 59,3% de las exportaciones totales de bienes; los productos manufacturados 35,6%, y los productos agrícolas 4,6%. Los siguientes gráficos presentan más detalles.",
country.show.exports_composition_by_products,Export Composition by Product ({{year}}),Composición de las exportaciones ({{year}}),
country.show.exports_composition_by_department,Export Composition by State ({{year}}),Composición de las exportaciones por entidad ({{year}}),By state
country.show.exports,Exports,Exportaciones,
country.show.export_complexity_possibilities.copy.p3,,"Los puntos que aparecen destacados representan productos que México exporta en cantidades relativamente importantes (más exactamente, con ventaja comparativa revelada mayor de uno, véase el Glosario). Los colores representan grupos de productos (son los mismos colores usados para los sectores correspondientes en el espacio de similitud tecnológica presentado arriba). El gráfico que aparece más abajo, junto con el cuadro que lo acompaña, indica qué productos ofrecen las mejores posibilidades para México, dadas las capacidades productivas que ya tiene el país y que tan ‘distantes’ son esas capacidades de las que requieren para exportar otras cosas. ",
country.show.export_complexity_possibilities.copy.p2,"The highlighted nodes represent the products that Colombia exports in relatively large amounts (more precisely, with revealed comparative advantage higher than one, see the Glossary). Colors represent product groupings (which match the colors used in the industry technological space shown above). The figure further below and the accompanying table show what export products offer the best possibilities for Colombia, given the capabilities the country already has and how ‘distant’ are those capabilities to the ones needed for each product.","El ‘Espacio del Producto’ que se presenta enseguida es una representación gráfica de la similitud tecnológica entre todos los productos de exportación, según los patrones de exportación de todos los países. Cada punto o nodo representa un producto; los nodos conectados entre sí requieren capacidades productivas semejantes. Los productos que están más conectados tienden a agruparse en el centro de la red, lo cual implica que las capacidades que ellos usan pueden ser utilizadas en la producción de muchos otros productos.",
country.show.export_complexity_possibilities.copy.p1,"The concept of export complexity is similar to that of industry complexity introduced above. It has been found that countries that export products that are relatively complex for their level of economic development tend to grow faster than countries that export relatively simple products. Based on the complexity of its export basket in 2013, Colombia ranks 53rd among 124 countries and is predicted to grow at an annual rate of 3.3% in the period 2013-2023 based on its economic complexity.","El concepto de complejidad exportadora es análogo al de complejidad productiva presentado arriba. Se ha comprobado que los países que exportan productos que son relativamente complejos con respecto a su nivel de desarrollo tienden a crecer más rápido que los países que exportan bienes relativamente simples. Según la complejidad de su canasta exportadora en 2013, Colombia ocupa el puesto 53 entre 124 países. La tasa de crecimiento proyectada para Colombia con base en su complejidad y su nivel de desarrollo es 3,3% por año en el período 2013-2023.",
country.show.export_complexity_possibilities,Export Complexity and Possibilities,Complejidad Exportadora y Posibilidades de Exportación,
country.show.employment_wage_occupation.copy.p2,The following graphs present more detailed information on the patterns of formal employment and wages paid based on IMSS. ,Los siguientes gráficos ofrecen información más detallada de los patrones de empleo formal y los salarios pagados según los registros del IMSS.,
country.show.employment_wage_occupation.copy.p1,"In 2014, approximately 21.6 million Colombians were occupied in either a formal or an informal job, increasing slightly over 2013, at 21.1 million. The registries of the PILA, which cover the universe of workers who make contributions to the social security system, indicate that 13.3 million workers were occupied for some period in a formal job in 2013. Taking into account the number of months occupied, the effective number of year-round workers in the formal sector in 2013 was 6.7 million. Bogotá DC, Antioquia and Valle del Cauca generate, respectively 32.7, 16.7, and 10.7% of (effective) formal employment.","En 2014, aproximadamente 21,6 millones de personas fueron ocupadas en empleos formales o informales, con un leve aumento respecto al año anterior (21,1  millones). Los registros de la PILA, que cubren el universo de los trabajadores que hacen contribuciones al sistema de seguridad social, indican que 13,3 millones de personas estuvieron ocupadas en algún momento en empleos formales en 2013. Teniendo en cuenta el número de meses empleados, el número efectivo de trabajadores-año en el sector formal en 2013 fue 6,7 millones. Bogotá DC, Antioquia y el Valle del Cauca generan, respectivamente 32,7, 16,7, and 10,7% del empleo formal (efectivo).",
country.show.employment_wage_occupation,"Formal Employment, Occupations and Wages","Empleo Formal, Ocupaciones y Salarios",
country.show.economic_structure.copy.p2,"Business and financial services contribute 18.8% of GDP, making it the largest industry, followed by governmental, communal and personal services (16.5%) and manufacturing activities (11.2%). Bogotá D.C., Antioquia and Valle del Cauca represent nearly half of economic activity, contributing 24.7, 13.1 and 9.2% to total GDP, respectively. However, two oil-producing departments – Casanare and Meta – boast the highest GDP per capita. The following graphs provide more details.","Los servicios empresariales y financieros son el sector más grande, con una contribución al PIB de 18,8%, seguidos por los servicios de gobierno, sociales y personales (16,5%) y las actividades manufactureras (11,2%). Bogotá D.C., Antioquia y el Valle del Cauca concentran aproximadamente la mitad de la actividad productiva, con participaciones en el PIB de 24,7, 13,1 y 9,2%, respectivamente. Sin embargo, los departamentos con más alto PIB per cápita son Casanare y Meta, ambos importantes productores de petróleo. Los gráficos siguientes presentan más detalles.",
